TABLE_NAME,FIELD_NAME,FIELD_TYPE,SEMANTIC_ROLE,BUSINESS_MEANING,JOIN_HINT,CONFIDENCE,TRUTH_LEVEL,FILTER_POLICY,JOIN_ROLE
ALIQUOTAS,ALIQUOTA,TEXT,TAX_RATE,Percentual de alíquota aplicada,Pode ser usada em cálculos fiscais/tributários,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALIQUOTAS,DESCRICAO,TEXT,TAX_DESCRIPTION,Descrição da alíquota ou do imposto,Exibição e identificação humana,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALIQUOTAS,INDICE,TEXT,TAX_INDEX,Código ou índice interno da alíquota,Referência em regras e vínculos,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALIQUOTAS,SINTEGRA,TEXT,SYSTEM_INTEGRATION_FLAG,Indica integração com sistema externo (ex: SINTEGRA),Controle de integração,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALIQ_REF,LOJA,TEXT,STORE_IDENTIFIER,Identificador da loja ou unidade,Pode relacionar com EMPRESAS / LOJAS,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALIQ_REF,ALIQ_MATRIZ,TEXT,BASE_TAX_RATE,Alíquota de referência da matriz,Comparações e herança de alíquota,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALIQ_REF,ALIQUOTA,TEXT,APPLIED_TAX_RATE,Alíquota efetivamente aplicada,Pode relacionar com ALIQUOTAS,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_ESTOQUE,CONTROLE,ID,STOCK_CONTROL_ID,Identificador de controle do registro de estoque,Pode relacionar movimentações e ajustes,0.85,STATE_SOURCE,ALLOWED,OPTIONAL
ALM_ESTOQUE,FUNC,TEXT,ACTOR_REFERENCE,Identificador do funcionário ou usuário responsável,Pode relacionar com USUARIOS / FUNCIONARIOS,0.80,STATE_SOURCE,ALLOWED,OPTIONAL
ALM_ESTOQUE,PRODUTO,TEXT,PRODUCT_REFERENCE,Produto ao qual o estoque se refere,Relaciona com PRODUTOS,0.95,STATE_SOURCE,ALLOWED,OPTIONAL
ALM_ESTOQUE,ESTOQUE,TEXT,STOCK_QUANTITY,Quantidade de estoque registrada,Análises de saldo e disponibilidade,0.95,STATE_SOURCE,ALLOWED,OPTIONAL
ALM_MOVIESTOQUE,CONTROLE,ID,MOVEMENT_CONTROL_ID,Identificador de controle da movimentação,Relaciona registros da movimentação,0.85,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,DATA,DATE,MOVEMENT_DATE,Data da movimentação de estoque,Análises temporais,0.95,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,PRODUTO,TEXT,PRODUCT_REFERENCE,Produto movimentado,Relaciona com PRODUTOS,0.95,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,LOJA_ORIGEM,TEXT,ORIGIN_LOCATION,Loja de origem da movimentação,Análises por unidade,0.85,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,LOJA_DEST,TEXT,DESTINATION_LOCATION,Loja de destino da movimentação,Análises por unidade,0.85,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,FUNC_ORIGEM,TEXT,ORIGIN_ACTOR,Funcionário responsável na origem,Pode relacionar com USUARIOS / FUNCIONARIOS,0.80,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,FUNC_DESTINO,TEXT,DESTINATION_ACTOR,Funcionário responsável no destino,Pode relacionar com USUARIOS / FUNCIONARIOS,0.80,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,ENT_SAI,TEXT,STOCK_DIRECTION,Indica entrada ou saída de estoque,Controle de fluxo,0.95,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,QUANTIDADE,TEXT,MOVED_QUANTITY,Quantidade movimentada,Análises de volume,0.95,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,SERIAL,TEXT,SERIAL_IDENTIFIER,Número de série do item (se aplicável),Relaciona com SERIAL,0.85,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,MOVI,TEXT,MOVEMENT_TYPE_CODE,Tipo de movimentação,Classificação operacional,0.80,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,CTRMOVI,ID,MOVEMENT_TRANSACTION_ID,Identificador da transação de movimentação,Agrupamento de movimentos,0.85,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,USUARIO,TEXT,SYSTEM_USER,Usuário que registrou a movimentação,Auditoria,0.90,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_MOVIESTOQUE,HISTORICO,TEXT,MOVEMENT_NOTE,Observação ou histórico da movimentação,Auditoria / leitura humana,0.90,EVENT_LOG,ORDER_ONLY,OPTIONAL
ALM_REQ,CONTROLE,ID,REQUEST_CONTROL_ID,Identificador de controle da requisição,Agrupa a requisição,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,LOJA_ORIGEM,TEXT,ORIGIN_LOCATION,Loja de origem da requisição,Análises por unidade,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,LOJA_DESTINO,TEXT,DESTINATION_LOCATION,Loja de destino da requisição,Análises por unidade,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,FUNC_ORIGEM,TEXT,ORIGIN_ACTOR,Funcionário solicitante,Relaciona com USUARIOS / FUNCIONARIOS,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,FUNC_DESTINO,TEXT,DESTINATION_ACTOR,Funcionário responsável no destino,Relaciona com USUARIOS / FUNCIONARIOS,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,TRANSFERENCIA,TEXT,TRANSFER_INDICATOR,Indica se a requisição envolve transferência,Fluxo logístico,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,DATA_SOLIC,DATE,REQUEST_DATE,Data da solicitação,Análises temporais,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,DATA_ENVIO,DATE,SHIPMENT_DATE,Data de envio da requisição,Análises temporais,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,OBSERVACAO,TEXT,REQUEST_NOTE,Observações gerais da requisição,Leitura humana,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ,URGENCIA,TEXT,URGENCY_INDICATOR,Grau de urgência da requisição,Priorização operacional,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ_ITENS,CONTROLE,ID,ITEM_CONTROL_ID,Identificador único do item da requisição,Chave primária lógica do item,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ_ITENS,CTRREQ,ID,REQUEST_ID,Identificador da requisição vinculada,Join com ALM_REQ.CONTROLE,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ_ITENS,SERIAL,TEXT,PRODUCT_SERIAL,Número de série do produto requisitado (quando houver),Join com SERIAL / ALM_SERIAL,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ_ITENS,PRODUTO,TEXT,PRODUCT_ID,Produto requisitado,Join com PRODUTOS.CODIGO,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ_ITENS,QTD_REQUERIDA,TEXT,REQUESTED_QTY,Quantidade solicitada do produto,Base de planejamento,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ_ITENS,QTD_ENVIADA,TEXT,SENT_QTY,Quantidade efetivamente enviada,Comparação logística,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_REQ_ITENS,STATUS,ENUM,ITEM_STATUS,Situação do item dentro da requisição,Fluxo de atendimento,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_SERIAL,CONTROLE,ID,SERIAL_CONTROL_ID,Identificador único do registro de serial em estoque,Chave lógica do controle de serial,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_SERIAL,SERIAL,TEXT,PRODUCT_SERIAL,Número de série único do produto,Join com SERIAL / SERIALMOVI,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_SERIAL,PRODUTO,TEXT,PRODUCT_ID,Produto vinculado ao número de série,Join com PRODUTOS.CODIGO,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_SERIAL,FUNC,TEXT,USER_ID,Funcionário responsável ou detentor do serial,Join com USUARIOS.CODIGO,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,CONTROLE,ID,TRANSFER_CONTROL_ID,Identificador único da transferência de estoque,Chave lógica da transferência,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,LOJA_ORIGEM,TEXT,SOURCE_STORE_ID,Loja de onde o estoque está sendo transferido,Join com EMPRESAS.CODIGO / LOJAS,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,LOJA_DESTINO,TEXT,DEST_STORE_ID,Loja que receberá o estoque transferido,Join com EMPRESAS.CODIGO / LOJAS,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,FUNC_ORIGEM,TEXT,SOURCE_USER_ID,Funcionário responsável pela saída do estoque,Join com USUARIOS.CODIGO,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,FUNC_DESTINO,TEXT,DEST_USER_ID,Funcionário responsável pelo recebimento,Join com USUARIOS.CODIGO,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,DATA,DATE,TRANSFER_DATE,Data da solicitação/registro da transferência,Campo temporal principal,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,USUARIO,TEXT,CREATED_BY,Usuário que registrou a transferência no sistema,Join com USUARIOS.CODIGO,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,STATUS,ENUM,TRANSFER_STATUS,"Situação atual da transferência (ex: Pendente, Aceita, Cancelada)",Campo de controle de fluxo,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,DATA_ACEITE,DATE,ACCEPTANCE_DATE,Data em que a transferência foi aceita,Relacionado ao STATUS,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,USUARIO_ACEITE,TEXT,ACCEPTED_BY,Usuário que confirmou o recebimento,Join com USUARIOS.CODIGO,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF,SISTEMA,TEXT,SYSTEM_ORIGIN,Indica se a transferência foi gerada automaticamente,Flag de origem sistêmica,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,CONTROLE,ID,TRANSFER_ITEM_ID,Identificador único do item da transferência,Chave lógica do item,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,CTRTRANSF,ID,TRANSFER_ID,Referência à transferência principal,Join com ALM_TRANSF.CONTROLE,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,PRODUTO,TEXT,PRODUCT_ID,Produto transferido entre lojas,Join com PRODUTOS.CODIGO,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,QUANTIDADE,TEXT,TRANSFER_QTY,Quantidade transferida do produto,Métrica quantitativa,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,SERIAL,TEXT,PRODUCT_SERIAL,"Número de série do produto, se aplicável",Join com SERIAL.SERIAL,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,STATUS,ENUM,TRANSFER_ITEM_STATUS,"Situação do item na transferência (pendente, aceito, rejeitado)",Derivado do fluxo,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,USUARIO_ACEITE,TEXT,ACCEPTED_BY,Usuário que confirmou o recebimento do item,Join com USUARIOS.CODIGO,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,DATA_ACEITE,DATE,ITEM_ACCEPTANCE_DATE,Data de aceite do item transferido,Relacionado ao STATUS,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,SISTEMA,TEXT,SYSTEM_ORIGIN,Indica se o item foi processado automaticamente,Flag de automação,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALM_TRANSF_ITENS,CTRITEM,ID,ITEM_SEQUENCE_ID,Identificador sequencial do item na transferência,Chave técnica interna,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,CONTROLE,ID,DEVICE_SALE_ID,Identificador único do registro de aparelho,Chave principal,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,CTRVENDA,ID,SALE_ID,Venda associada ao aparelho,Join com VENDAS.CTRVENDA,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,FONE,TEXT,PHONE_NUMBER,Número telefônico associado ao aparelho,MSISDN/linha,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,MODELO,TEXT,DEVICE_MODEL,Modelo comercial do aparelho,Catálogo,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,IMEI,TEXT,DEVICE_IMEI,Identificador único do aparelho,Controle regulatório,0.98,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,CHIP,TEXT,SIM_CARD_ID,Identificação do chip vinculado,SIM/ICCID,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,PLANO,ENUM,PLAN_ID,Plano comercial contratado,Join com PLANOS,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,VRVENDED,DECIMAL,SELLER_VALUE,Valor repassado ao vendedor,Comissão,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,VREMPRES,DECIMAL,COMPANY_VALUE,Valor líquido para a empresa,Receita,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,VRCLIENT,DECIMAL,CLIENT_PRICE,Valor pago pelo cliente,Faturamento,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,OBS,TEXT,NOTES,Observações gerais da venda,Campo livre,0.80,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LIN_CAR,TEXT,LINE_TYPE,"Indica linha nova, portabilidade ou migração",Classificação,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,VENDEDOR,TEXT,SELLER_ID,Vendedor responsável,Join com VENDEDOR/USUARIOS,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,EMISSAO,TEXT,ISSUE_DATE,Data de emissão da venda,Temporal,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOJA,TEXT,STORE_ID,Loja de origem da venda,Join com EMPRESAS/LOJAS,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,SERIAL,TEXT,DEVICE_SERIAL,Número de série do aparelho,Controle físico,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,CONTRATO,TEXT,CONTRACT_ID,Contrato vinculado à venda,Join com CONTRATOS,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,BONUS,TEXT,BONUS_VALUE,Valor de bônus aplicado,Incentivo,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,ADM,TEXT,ADMIN_FEE,Taxa administrativa,Financeiro,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,VPC,TEXT,VPC_VALUE,Valor de participação comercial,Telecom,0.80,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,RECOMP,TEXT,RECOMPOSITION_VALUE,Valor de recomposição,Ajustes,0.80,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,REC_MARGEM,TEXT,MARGIN_RECOVERY,Recuperação de margem,Financeiro,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,BONUSVOLUME,TEXT,VOLUME_BONUS,Bônus por volume,Incentivo,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,NOTA_ENT,TEXT,ENTRY_INVOICE,Nota fiscal de entrada,Fiscal,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,VR_ENT,DECIMAL,ENTRY_VALUE,Valor de entrada do aparelho,Custo,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,VR_SAI,DECIMAL,EXIT_VALUE,Valor de saída,Receita,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,PRICE,TEXT,BASE_PRICE,Preço base do aparelho,Precificação,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,REEMBOLSO,TEXT,REFUND_VALUE,Valor reembolsado,Ajuste financeiro,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,PRODUTO,TEXT,PRODUCT_ID,Produto cadastral do aparelho,Join com PRODUTOS,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,CTRENT,ID,ENTRY_ID,Controle de entrada em estoque,Join com NOTASENT,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,STATUS,ENUM,DEVICE_STATUS,"Situação do aparelho (vendido, devolvido, ativo)",Workflow,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,ENVIO,TEXT,SHIPPING_DATE,Data de envio,Logística,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,RECEBIMENTO,TEXT,RECEIPT_DATE,Data de recebimento,Logística,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,DT_ENT,TEXT,STOCK_ENTRY_DATE,Data de entrada em estoque,Estoque,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,QTDPARC,TEXT,INSTALLMENTS_QTY,Quantidade de parcelas,Financeiro,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,FORMAP,ENUM,PAYMENT_METHOD,Forma de pagamento,Join com FORMAPAGTO,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,COMPROVADO,TEXT,VERIFIED_SALE,Indica venda comprovada,Auditoria,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,CLIENTE,TEXT,CLIENT_ID,Cliente da venda,Join com CLIENTES,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,TOTALCOM,DECIMAL,TOTAL_COMMISSION,Comissão total,Comercial,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,TABELA,TEXT,PRICE_TABLE,Tabela de preços utilizada,Join com TAB_PRECOS,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,MARGEMFIXA,TEXT,FIXED_MARGIN,Margem fixa aplicada,Precificação,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,DESC_OP,TEXT,OPERATOR_DISCOUNT,Desconto da operadora,Telecom,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,DESC_LJ,TEXT,STORE_DISCOUNT,Desconto da loja,Comercial,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,MIGRACAO,TEXT,MIGRATION_FLAG,Indica migração de plano,Telecom,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,FORNEC,TEXT,SUPPLIER_ID,Fornecedor do aparelho,Join com FORNEC,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,RECARGA_COD,TEXT,RECHARGE_CODE,Código de recarga,Telecom,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,RECARGA_VR,TEXT,RECHARGE_VALUE,Valor da recarga,Telecom,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,RECARGA_COM,TEXT,RECHARGE_COMMISSION,Comissão da recarga,Comercial,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOJA_ENT,TEXT,ENTRY_STORE,Loja de entrada do estoque,Join com LOJAS,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,PONTOS,TEXT,LOYALTY_POINTS,Pontos gerados,Fidelidade,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,PONTOS_DESC,TEXT,POINTS_DISCOUNT,Pontos utilizados como desconto,Fidelidade,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,RECARGA_OP,TEXT,OPERATOR_ID,Operadora da recarga,Telecom,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,CELBK,TEXT,CEL_BACK,Indica buyback/retorno de aparelho,Operação,0.80,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,PLANOCOMP,TEXT,COMP_PLAN_ID,Plano complementar,Telecom,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,DIAFAT,TEXT,BILLING_DAY,Dia de faturamento,Financeiro,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,TAB_VAR,TEXT,VARIABLE_TABLE,Variável de tabela de preço,Precificação,0.80,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,PLANO_ANT,TEXT,PREVIOUS_PLAN,Plano anterior do cliente,Histórico,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,MSISDN,TEXT,MSISDN,Número principal da linha,Telecom,0.95,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,PR_CAD,TEXT,REGISTERED_PRICE,Preço cadastrado,Base,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOTE,TEXT,LOT_ID,Lote operacional,Processamento,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOTE_LJ_USU,TEXT,LOT_USER,Usuário do lote,Auditoria,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOTE_LJ_DT,TEXT,LOT_DATE,Data do lote,Processamento,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOTE_OBS1,TEXT,LOT_NOTE,Observação do lote,Livre,0.80,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOTE_DT_CONF,TEXT,LOT_CONFIRM_DATE,Data de conferência do lote,Auditoria,0.90,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOTE_OP,TEXT,LOT_OPERATOR,Operador do lote,Operacional,0.85,ENRICHMENT,ALLOWED,OPTIONAL
APARELHOS,LOTE_VINC,TEXT,LINKED_LOT,Lote vinculado,Processamento,0.80,ENRICHMENT,ALLOWED,OPTIONAL
